MDXfind algo	hashes.org algo
HAV256_4MD5	HAVAL256-4MD5
HAV256_4MD5PASS	HAVAL256-4(MD5(PLAIN)PLAIN)
HAV256_5MD5	HAVAL256-5MD5
HAV256_5MD5PASS	HAVAL256-5(MD5(PLAIN)PLAIN)
RMD128MD5	RIPEMD128MD5
RMD128MD5PASS	RIPEMD128(MD5(PLAIN)PLAIN)
RMD160MD5	RIPEMD160MD5
RMD160MD5PASS	RIPEMD160(MD5(PLAIN)PLAIN)
SHA1MD5	SHA1MD5
SHA1MD5PASS	SHA1(MD5(PLAIN)PLAIN)
SHA224MD5	SHA224MD5
SHA224MD5PASS	SHA224(MD5(PLAIN)PLAIN)
SHA256MD5	SHA256MD5
SHA256MD5PASS	SHA256(MD5(PLAIN)PLAIN)
SHA384MD5	SHA384MD5
SHA384MD5PASS	SHA384(MD5(PLAIN)PLAIN)
SHA512MD5	SHA512MD5
SHA512MD5PASS	SHA512(MD5(PLAIN)PLAIN)
TIGERMD5	TIGER128-3MD5
TIGERMD5PASS	TIGER128-3(MD5(PLAIN)PLAIN)
WRLMD5	WRLMD5
WRLMD5PASS	WRL(MD5(PLAIN)PLAIN)
SNE256MD5	SNEFRU256MD5
SNE256MD5PASS	SNEFRU256(MD5(PLAIN)PLAIN)
SHA1PASSSHA1	SHA1(PLAINSHA1(PLAIN))
MD5HEXSALT	MD5(MD5(SALTPLAIN)INSDPSALT)
MD5HEXSALT	MD5(MD5(SALTPLAIN)SALT)
MD5HEXSALT	MD5(MD5(SALTPLAIN)INSDPSALTINSDP)
SHA1HEXSALT	SHA1(MD5(SALTPLAIN)INSDPSALT)
SHA1HEXSALT	SHA1(MD5(SALTPLAIN)SALT)
SHA1HEXSALT	SHA1(MD5(SALTPLAIN)INSDPSALTINSDP)
SHA256HEXSALT	SHA256(MD5(SALTPLAIN)INSDPSALT)
SHA256HEXSALT	SHA256(MD5(SALTPLAIN)SALT)
SHA256HEXSALT	SHA256(MD5(SALTPLAIN)INSDPSALTINSDP)
GOSTHEXSALT	GOST(MD5(SALTPLAIN)INSDPSALT)
GOSTHEXSALT	GOST(MD5(SALTPLAIN)SALT)
GOSTHEXSALT	GOST(MD5(SALTPLAIN)INSDPSALTINSDP)
HAV128HEXSALT	HAVAL128-3(MD5(SALTPLAIN)INSDPSALT)
HAV128HEXSALT	HAVAL128-3(MD5(SALTPLAIN)SALT)
HAV128HEXSALT	HAVAL128-3(MD5(SALTPLAIN)INSDPSALTINSDP)
MD5SHA1MD5	MD5SHA1MD5
MD5SHA1MD5SHA1	(MD5SHA1)X2
MD5SHA1MD5SHA1SHA1	(MD5SHA1)X2SHA1
SHA1MD5SHA1	SHA1MD5SHA1
SHA1MD5SHA1MD5	(SHA1MD5)X2
MD5HAV160_3	MD5HAVAL160-3
